model,wer_mean,cer_mean,locality_strict_mean,locality_fuzzy_mean,latency_mean_ms,latency_p50_ms,latency_p95_ms
deepgram,1.3941729323308274,0.6586659908267803,0.15789473684210525,0.6842105263157895,2007.4986947365687,1994.5111000015459,2490.2593600014366
sarvam,1.926190476190476,0.8569272943572372,0.1,0.6,577.0677500018792,547.2457500036398,793.294075002632
whisper,1.6505639097744362,0.774603052333134,0.15789473684210525,0.6842105263157895,20989.83898421073,20897.72620000076,24104.191699998042
