file,model,condition,language_mix,metric,value
04_electroniccity_fast.mp3,deepgram,fast,hinglish,rtf,0.7111242021939618
04_electroniccity_fast.mp3,sarvam,fast,hinglish,wer,2.1666666666666665
04_electroniccity_fast.mp3,sarvam,fast,hinglish,cer,0.84375
04_electroniccity_fast.mp3,sarvam,fast,hinglish,locality_strict,0.0
04_electroniccity_fast.mp3,sarvam,fast,hinglish,locality_fuzzy,0.0
04_electroniccity_fast.mp3,sarvam,fast,hinglish,edit_distance,8.0
04_electroniccity_fast.mp3,sarvam,fast,hinglish,latency_ms,483.1800000029034
04_electroniccity_fast.mp3,sarvam,fast,hinglish,rtf,0.21249773233408797
04_electroniccity_fast.mp3,whisper,fast,hinglish,wer,0.8333333333333334
04_electroniccity_fast.mp3,whisper,fast,hinglish,cer,0.40625
04_electroniccity_fast.mp3,whisper,fast,hinglish,locality_strict,1.0
04_electroniccity_fast.mp3,whisper,fast,hinglish,locality_fuzzy,1.0
04_electroniccity_fast.mp3,whisper,fast,hinglish,edit_distance,0.0
04_electroniccity_fast.mp3,whisper,fast,hinglish,latency_ms,19264.463200001046
04_electroniccity_fast.mp3,whisper,fast,hinglish,rtf,8.472318276023659
05_marathahalli_quiet.mp3,deepgram,quiet,hinglish,wer,1.6
05_marathahalli_quiet.mp3,deepgram,quiet,hinglish,cer,0.7666666666666667
05_marathahalli_quiet.mp3,deepgram,quiet,hinglish,locality_strict,0.0
05_marathahalli_quiet.mp3,deepgram,quiet,hinglish,locality_fuzzy,1.0
05_marathahalli_quiet.mp3,deepgram,quiet,hinglish,edit_distance,2.0
05_marathahalli_quiet.mp3,deepgram,quiet,hinglish,latency_ms,1826.3810999997077
05_marathahalli_quiet.mp3,deepgram,quiet,hinglish,rtf,0.6685143118593366
05_marathahalli_quiet.mp3,sarvam,quiet,hinglish,wer,2.0
05_marathahalli_quiet.mp3,sarvam,quiet,hinglish,cer,0.8666666666666667
05_marathahalli_quiet.mp3,sarvam,quiet,hinglish,locality_strict,0.0
05_marathahalli_quiet.mp3,sarvam,quiet,hinglish,locality_fuzzy,1.0
05_marathahalli_quiet.mp3,sarvam,quiet,hinglish,edit_distance,2.0
05_marathahalli_quiet.mp3,sarvam,quiet,hinglish,latency_ms,545.1914000004763
05_marathahalli_quiet.mp3,sarvam,quiet,hinglish,rtf,0.19955761347015968
05_marathahalli_quiet.mp3,whisper,quiet,hinglish,wer,2.0
05_marathahalli_quiet.mp3,whisper,quiet,hinglish,cer,0.8666666666666667
05_marathahalli_quiet.mp3,whisper,quiet,hinglish,locality_strict,0.0
05_marathahalli_quiet.mp3,whisper,quiet,hinglish,locality_fuzzy,1.0
05_marathahalli_quiet.mp3,whisper,quiet,hinglish,edit_distance,2.0
05_marathahalli_quiet.mp3,whisper,quiet,hinglish,latency_ms,20897.72620000076
05_marathahalli_quiet.mp3,whisper,quiet,hinglish,rtf,7.64924092240145
06_hsrlayout_fan.mp3,deepgram,fan_noise,hinglish,wer,1.5714285714285714
06_hsrlayout_fan.mp3,deepgram,fan_noise,hinglish,cer,0.7297297297297297
06_hsrlayout_fan.mp3,deepgram,fan_noise,hinglish,locality_strict,0.0
06_hsrlayout_fan.mp3,deepgram,fan_noise,hinglish,locality_fuzzy,0.0
06_hsrlayout_fan.mp3,deepgram,fan_noise,hinglish,edit_distance,6.0
06_hsrlayout_fan.mp3,deepgram,fan_noise,hinglish,latency_ms,1798.9933999997447
06_hsrlayout_fan.mp3,deepgram,fan_noise,hinglish,rtf,0.5025530664741525
06_hsrlayout_fan.mp3,sarvam,fan_noise,hinglish,wer,1.8571428571428572
06_hsrlayout_fan.mp3,sarvam,fan_noise,hinglish,cer,0.8918918918918919
06_hsrlayout_fan.mp3,sarvam,fan_noise,hinglish,locality_strict,0.0
06_hsrlayout_fan.mp3,sarvam,fan_noise,hinglish,locality_fuzzy,0.0
06_hsrlayout_fan.mp3,sarvam,fan_noise,hinglish,edit_distance,6.0
